,#Position,Illumina Universal Adapter,Illumina Small RNA Adapter,Nextera Transposase Sequence,SOLID Small RNA Adapter
44,45,0.007224863248544709,4.022752365559415E-5,4.827302838671298E-5,8.04550473111883E-6
45,46,0.0076646841738458715,4.022752365559415E-5,4.827302838671298E-5,8.04550473111883E-6
46,47,0.008061595740581066,4.022752365559415E-5,4.827302838671298E-5,8.04550473111883E-6
47,48,0.00881250951548549,4.5591193476340036E-5,4.827302838671298E-5,8.04550473111883E-6
48,49,0.009421286040140149,4.5591193476340036E-5,5.095486329708592E-5,1.0727339641491773E-5
49,50,0.010295564220921729,4.827302838671298E-5,5.095486329708592E-5,1.3409174551864716E-5
50,51,0.01099820496743944,4.827302838671298E-5,5.095486329708592E-5,1.3409174551864716E-5
51,52,0.011832255624565425,4.827302838671298E-5,5.095486329708592E-5,1.3409174551864716E-5
52,53,0.0126475334373188,4.827302838671298E-5,5.363669820745886E-5,1.3409174551864716E-5
53,54,0.013741722080750961,4.827302838671298E-5,5.363669820745886E-5,1.3409174551864716E-5
54,55,0.014841274394003868,4.827302838671298E-5,5.900036802820475E-5,1.3409174551864716E-5
55,56,0.015887190009049316,4.827302838671298E-5,5.900036802820475E-5,1.3409174551864716E-5
56,57,0.01682315039276947,5.095486329708592E-5,5.900036802820475E-5,1.3409174551864716E-5
57,58,0.01816943151777669,5.363669820745886E-5,5.900036802820475E-5,1.3409174551864716E-5
58,59,0.019622986039198827,5.900036802820475E-5,6.436403784895064E-5,1.3409174551864716E-5
59,60,0.021883772868643216,5.900036802820475E-5,7.240954258006946E-5,1.609100946223766E-5
60,61,0.024080195660238658,6.436403784895064E-5,7.240954258006946E-5,1.609100946223766E-5
61,62,0.025997707621155313,6.436403784895064E-5,7.240954258006946E-5,1.609100946223766E-5
62,63,0.028314812983717533,6.704587275932358E-5,7.50913774904424E-5,1.87728443726106E-5
